Drug 1,Drug 2,Interaction Description
Domperidone,Famotidine,Domperidone may increase the QTc-prolonging activities of Famotidine.
Cortisone acetate,Chlorpropamide,The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Cortisone acetate.
Cortisone acetate,Minaprine,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Minaprine.
Cortisone acetate,Estriol,The serum concentration of Estriol can be increased when it is combined with Cortisone acetate.
Glyburide,Methyl salicylate,Glyburide may increase the hypoglycemic activities of Methyl salicylate.
Citric acid,Methyl salicylate,Citric acid may increase the anticoagulant activities of Methyl salicylate.
Acepromazine,Calcium carbonate,Acepromazine can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Rocuronium,Magnesium hydroxide,Rocuronium may increase the neuromuscular blocking activities of Magnesium hydroxide.
Norfloxacin,Sodium bicarbonate,Norfloxacin can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Levofloxacin,Sodium bicarbonate,Levofloxacin can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Trifluoperazine,Sodium bicarbonate,Trifluoperazine can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Cabergoline,Capsaicin,The risk or severity of adverse effects can be increased when Cabergoline is combined with Capsaicin.
Nitroglycerin,Methysergide,The bioavailability of Methysergide can be increased when combined with Nitroglycerin.
Hydrocortisone,Fleroxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Fleroxacin.
Salicylic acid,Clodronic acid,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Clodronic acid.
Masoprocol,Cortisone acetate,The risk or severity of adverse effects can be increased when Masoprocol is combined with Cortisone acetate.
Tenoxicam,Cortisone acetate,The risk or severity of adverse effects can be increased when Tenoxicam is combined with Cortisone acetate.
Ubidecarenone,Cortisone acetate,The serum concentration of Cortisone acetate can be increased when it is combined with Ubidecarenone.
Ergotamine,Cortisone acetate,The risk or severity of adverse effects can be increased when Ergotamine is combined with Cortisone acetate.
Salicylic acid,Etofenamate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Etofenamate.
Ibuprofen,Alendronic acid,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Alendronic acid.
Tenoxicam,Fluticasone propionate,The risk or severity of adverse effects can be increased when Tenoxicam is combined with Fluticasone propionate.
Indomethacin,Fluticasone propionate,The risk or severity of adverse effects can be increased when Indomethacin is combined with Fluticasone propionate.
Propacetamol,Fluticasone propionate,The risk or severity of adverse effects can be increased when Propacetamol is combined with Fluticasone propionate.
Acemetacin,Fluticasone propionate,The risk or severity of adverse effects can be increased when Acemetacin is combined with Fluticasone propionate.
Mirtazapine,Fluticasone propionate,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Fluticasone propionate.
Chlorzoxazone,Fluticasone propionate,The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Fluticasone propionate.
Prazepam,Fluticasone propionate,The risk or severity of adverse effects can be increased when Prazepam is combined with Fluticasone propionate.
Ibuprofen,Pamidronic acid,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Pamidronic acid.
Sodium bicarbonate,Prasterone,The bioavailability of Prasterone can be decreased when combined with Sodium bicarbonate.
Trolamine salicylate,Hydrocortisone,The risk or severity of adverse effects can be increased when Trolamine salicylate is combined with Hydrocortisone.
Salicylic acid,Tolfenamic acid,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Tolfenamic acid.
Salicylic acid,Beclomethasone dipropionate,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Beclomethasone dipropionate.
Hydrocortisone,Methyclothiazide,Hydrocortisone may increase the hypokalemic activities of Methyclothiazide.
Ibuprofen,Metolazone,The therapeutic efficacy of Metolazone can be decreased when used in combination with Ibuprofen.
Caffeine,Erythromycin,The metabolism of Erythromycin can be decreased when combined with Caffeine.
Loratadine,Erythromycin,The metabolism of Erythromycin can be decreased when combined with Loratadine.
Rifampicin,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Rifampicin.
Anagrelide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Anagrelide.
Flutamide,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Flutamide.
Haloperidol,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Haloperidol.
Udenafil,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Udenafil.
Ombitasvir,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Ombitasvir.
Mexiletine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Mexiletine.
Famotidine,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Famotidine.
Fluticasone propionate,Isavuconazonium,The metabolism of Isavuconazonium can be decreased when combined with Fluticasone propionate.
Esomeprazole,Clemastine,The metabolism of Clemastine can be decreased when combined with Esomeprazole.
Clotrimazole,Isradipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Isradipine.
Caffeine,Idelalisib,The metabolism of Idelalisib can be decreased when combined with Caffeine.
Hydrocortisone,Nelfinavir,The metabolism of Nelfinavir can be decreased when combined with Hydrocortisone.
Loratadine,Nelfinavir,The metabolism of Nelfinavir can be decreased when combined with Loratadine.
Acetaminophen,Amiodarone,The metabolism of Amiodarone can be decreased when combined with Acetaminophen.
Fluticasone propionate,Saquinavir,The serum concentration of Saquinavir can be increased when it is combined with Fluticasone propionate.
Esomeprazole,Mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Esomeprazole.
Esomeprazole,Fusidic acid,The serum concentration of Fusidic acid can be increased when it is combined with Esomeprazole.
Caffeine,Aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Caffeine.
Metipranolol,Salicylic acid,Metipranolol may decrease the antihypertensive activities of Salicylic acid.
Nabumetone,Salicylic acid,The risk or severity of adverse effects can be increased when Nabumetone is combined with Salicylic acid.
Zileuton,Salicylic acid,The risk or severity of adverse effects can be increased when Zileuton is combined with Salicylic acid.
Ramipril,Salicylic acid,Ramipril may decrease the antihypertensive activities of Salicylic acid.
Streptomycin,Ibuprofen,Streptomycin may decrease the excretion rate of Ibuprofen which could result in a higher serum level.
Zileuton,Ibuprofen,The risk or severity of adverse effects can be increased when Zileuton is combined with Ibuprofen.
Caffeine,Quinidine,The metabolism of Quinidine can be decreased when combined with Caffeine.
Lidocaine,Manidipine,The metabolism of Manidipine can be decreased when combined with Lidocaine.
Loratadine,Promazine,The metabolism of Promazine can be decreased when combined with Loratadine.
Loratadine,Artemether,The metabolism of Artemether can be decreased when combined with Loratadine.
Hydrocortisone,Isoniazid,The serum concentration of Isoniazid can be decreased when it is combined with Hydrocortisone.
Famotidine,Isoniazid,The metabolism of Isoniazid can be decreased when combined with Famotidine.
Calcium carbonate,Chloroquine,The serum concentration of Chloroquine can be decreased when it is combined with Calcium carbonate.
Pentamidine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Pentamidine.
Iron sucrose,Omeprazole,Iron sucrose can cause a decrease in the absorption of Omeprazole resulting in a reduced serum concentration and potentially a decrease in efficacy.
Haloperidol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Haloperidol.
Olodaterol,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Olodaterol.
Sertraline,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Sertraline.
Famotidine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Famotidine.
Lidocaine,Fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Lidocaine.
Caffeine,Fluvastatin,The metabolism of Fluvastatin can be decreased when combined with Caffeine.
Lidocaine,Ticagrelor,The metabolism of Ticagrelor can be decreased when combined with Lidocaine.
Calcium carbonate,Gefitinib,The serum concentration of Gefitinib can be decreased when it is combined with Calcium carbonate.
Esomeprazole,Pazopanib,The serum concentration of Pazopanib can be decreased when it is combined with Esomeprazole.
Nitroglycerin,Riociguat,Nitroglycerin may increase the hypotensive activities of Riociguat.
Minoxidil,Quinapril,The risk or severity of adverse effects can be increased when Minoxidil is combined with Quinapril.
Benzocaine,Clonidine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Clonidine.
Lidocaine,Tolcapone,The risk or severity of adverse effects can be increased when Lidocaine is combined with Tolcapone.
Nicotine,Vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Nicotine.
Minoxidil,Isosorbide dinitrate,The risk or severity of adverse effects can be increased when Minoxidil is combined with Isosorbide dinitrate.
Tolcapone,Nitroglycerin,The risk or severity of adverse effects can be increased when Tolcapone is combined with Nitroglycerin.
Fosinopril,Nitroglycerin,The risk or severity of adverse effects can be increased when Fosinopril is combined with Nitroglycerin.
Acetaminophen,Nitrous acid,The risk or severity of adverse effects can be increased when Acetaminophen is combined with Nitrous acid.
Pargyline,Minoxidil,Pargyline may increase the hypotensive activities of Minoxidil.
